timestamp,route_index,reference_x_m,reference_y_m,actual_x_m,actual_y_m,cross_track_error_m,mean_error_m,rmse_m,max_error_m,accuracy_pct,route_progress_pct,gps_stability,encoder_count,encoder_distance_m
1787463221.203932047,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.303771257,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.403802395,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.503962755,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.603717327,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.703534603,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.803612471,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463221.904081106,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.004380941,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.104152918,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.204420805,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.304237604,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.404578924,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.504066229,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.603749752,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.704301119,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.803667784,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463222.903573990,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463223.004105568,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463223.103749752,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
1787463223.204130888,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000,0.000,100.000,,
