index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
339,-14.864,16.021,-16.377,-1,2,1.00,NONE
340,-14.665,16.014,-28.927,-1,2,1.00,NONE
341,-14.465,16.004,-45.483,-1,2,1.00,NONE
342,-14.275,15.943,-59.751,-1,2,1.00,NONE
343,-14.132,15.810,-66.313,-1,2,1.00,NONE
344,-14.007,15.654,-67.206,-1,2,1.00,NONE
345,-13.935,15.471,-58.778,-1,2,1.00,NONE
346,-13.886,15.279,-47.230,-1,2,1.00,NONE
347,-13.818,15.091,-39.196,-1,2,1.00,NONE
348,-13.705,14.928,-36.188,-1,2,1.00,NONE
349,-13.542,14.816,-38.271,-1,2,1.00,NONE
350,-13.368,14.718,-39.513,-1,2,1.00,NONE
351,-13.210,14.595,-36.920,-1,2,1.00,NONE
352,-13.064,14.459,-32.519,-1,2,1.00,NONE
353,-12.917,14.323,-28.368,-1,2,1.00,NONE
354,-12.753,14.210,-27.078,-1,2,1.00,NONE
355,-12.575,14.118,-28.218,-1,2,1.00,NONE
356,-12.395,14.032,-29.923,-1,2,1.00,NONE
357,-12.215,13.944,-31.956,-1,2,1.00,NONE
358,-12.041,13.846,-33.573,-1,2,1.00,NONE
359,-11.871,13.740,-33.940,-1,2,1.00,NONE
360,-11.702,13.634,-32.725,-1,2,1.00,NONE
361,-11.537,13.521,-29.570,-1,2,1.00,NONE
362,-11.375,13.404,-25.170,-1,2,1.00,NONE
363,-11.208,13.294,-20.285,-1,2,1.00,NONE
364,-11.031,13.202,-19.221,-1,2,1.00,NONE
365,-10.845,13.128,-23.839,-1,2,1.00,NONE
366,-10.655,13.066,-34.247,-1,2,1.00,NONE
367,-10.461,13.018,-50.281,-1,2,1.00,NONE
368,-10.277,12.940,-59.699,-1,2,1.00,NONE
369,-10.127,12.814,-57.281,-1,2,1.00,NONE
370,-10.027,12.644,-45.924,-1,2,1.00,NONE
371,-9.991,12.460,-28.921,-1,2,1.00,NONE
372,-9.916,12.290,-14.367,-1,2,1.00,NONE
373,-9.747,12.184,-6.809,-1,2,1.00,NONE
374,-9.554,12.132,-7.043,-1,2,1.00,NONE
375,-9.356,12.102,-12.636,-1,2,1.00,NONE
376,-9.156,12.095,-21.819,-1,2,1.00,NONE
377,-8.957,12.090,-29.176,-1,2,1.00,NONE
378,-8.765,12.035,-26.795,-1,2,1.00,NONE
379,-8.594,11.932,-19.263,-1,2,1.00,NONE
380,-8.438,11.808,-12.186,-1,2,1.00,NONE
381,-8.270,11.705,-9.143,-1,2,1.00,NONE
382,-8.073,11.682,-12.843,-1,2,1.00,NONE
383,-7.873,11.679,-24.907,-1,2,1.00,NONE
384,-7.677,11.644,-33.578,-1,2,1.00,NONE
385,-7.488,11.579,-29.416,-1,2,1.00,NONE
386,-7.303,11.509,-27.771,-1,2,1.00,NONE
387,-7.175,11.357,-25.249,-1,2,1.00,NONE
388,-7.038,11.216,-19.661,-1,2,1.00,NONE
389,-6.840,11.211,-24.453,-1,2,1.00,NONE
390,-6.661,11.178,-26.455,-1,2,1.00,NONE
391,-6.515,11.045,-19.594,-1,2,1.00,NONE
392,-6.332,10.964,-15.150,-1,2,1.00,NONE
393,-6.145,10.893,-10.039,-1,2,1.00,NONE
394,-5.957,10.827,-4.088,-1,2,1.00,NONE
395,-5.763,10.777,1.324,-1,2,1.00,NONE
396,-5.565,10.756,4.279,-1,2,1.00,NONE
397,-5.365,10.754,3.476,-1,2,1.00,NONE
398,-5.166,10.770,1.861,-1,2,1.00,NONE
399,-4.967,10.795,0.163,-1,2,1.00,NONE
400,-4.769,10.815,0.123,-1,2,1.00,NONE
401,-4.569,10.803,2.707,-1,2,1.00,NONE
402,-4.370,10.796,6.104,-1,2,1.00,NONE
403,-4.170,10.797,11.115,-1,2,1.00,NONE
404,-3.970,10.817,11.211,-1,2,1.00,NONE
405,-3.772,10.840,7.297,-1,2,1.00,NONE
406,-3.576,10.881,-1.836,-1,2,1.00,NONE
407,-3.389,10.951,-13.647,-1,2,1.00,NONE
408,-3.192,10.972,-18.323,-1,2,1.00,NONE
409,-2.995,10.941,-17.873,-1,2,1.00,NONE
410,-2.816,10.858,-12.932,-1,2,1.00,NONE
411,-2.638,10.768,-5.959,-1,2,1.00,NONE
